Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-07-08 16:19:30.905660,968.07691613,2546.3939391393,344.48717122,5991.727272128101,6941.28205698,3832.2121208289,1821.41025127,5760.9393933633,1164.99999347,2760.6969694209,2871.66666375,6090.6363630273,2051.15384150,4293.7878783585,1000.89742902,3914.6363632449,836.79486457,6304.9393933089,7958.71795657,6865.4242417377,278.84614544,2843.1212118369,6219.48718366,4260.8181813921,7863.20513585,3354.1515148161,7991.53846946,0,0,0,?
2018-07-08 16:19:30.928560,1985.51281572,2546.3939391393,2609.10256063,5991.727272128101,2149.61538017,3832.2121208289,541.41024856,5760.9393933633,8221.28205969,2760.6969694209,6252.05128629,6090.6363630273,705.51281301,4293.7878783585,1066.53845480,3914.6363632449,1230.64101925,6304.9393933089,2051.15384150,6865.4242417377,3560.89743444,2843.1212118369,6908.71795435,4260.8181813921,2251.02563679,3354.1515148161,2379.35897040,0,0,0,?
2018-07-08 16:19:30.928560,1952.69230283,2546.3939391393,2444.99999618,5991.727272128101,1230.64101925,3832.2121208289,7761.79487923,5760.9393933633,7761.79487923,2760.6969694209,7236.66667299,6090.6363630273,1624.48717393,4293.7878783585,968.07691613,3914.6363632449,1788.58973838,6304.9393933089,771.15383879,6865.4242417377,3724.99999889,2843.1212118369,7040.00000591,4260.8181813921,2743.33333014,3354.1515148161,1033.71794191,0,0,0,?
2018-07-08 16:19:30.928560,607.05127434,2546.3939391393,738.33332590,5991.727272128101,7761.79487923,3832.2121208289,607.05127434,5760.9393933633,1394.74358370,2760.6969694209,2576.28204774,6090.6363630273,2641.92307352,4293.7878783585,1460.38460948,3914.6363632449,1132.17948058,6304.9393933089,5956.66667028,6865.4242417377,8122.82052102,2843.1212118369,5366.15384852,4260.8181813921,5303.20513043,3354.1515148161,1460.38460948,0,0,0,?
2018-07-08 16:19:30.928560,2576.28204774,2546.3939391393,3396.79486999,5991.727272128101,3724.99999889,3832.2121208289,7728.97436634,5760.9393933633,8319.74359836,2760.6969694209,4250.00000000,6090.6363630273,311.66665833,4293.7878783585,2576.28204774,3914.6363632449,1985.51281572,6304.9393933089,4873.71795004,6865.4242417377,7138.33333945,2843.1212118369,7171.28205747,4260.8181813921,4581.28205198,3354.1515148161,2904.48717664,0,0,0,?
2018-07-08 16:19:30.928560,410.12819700,2546.3939391393,7630.51282767,5991.727272128101,6055.12820895,3832.2121208289,311.66665833,5760.9393933633,869.61537746,2760.6969694209,2477.82050907,6090.6363630273,1690.12819971,4293.7878783585,869.61537746,3914.6363632449,1788.58973838,6304.9393933089,7236.66667299,6865.4242417377,8286.92308547,2843.1212118369,6088.20513210,4260.8181813921,8191.41026475,3354.1515148161,7827.43590501,0,0,0,?
2018-07-08 16:19:30.929559,2083.97435439,2546.3939391393,2051.15384150,5991.727272128101,1854.23076416,3832.2121208289,902.43589035,5760.9393933633,803.97435168,2760.6969694209,8024.35898235,6090.6363630273,1394.74358370,4293.7878783585,607.05127434,3914.6363632449,2116.79486728,6304.9393933089,1657.30768682,6865.4242417377,3593.71794733,2843.1212118369,6908.71795435,4260.8181813921,1266.41025009,3354.1515148161,1197.82050636,0,0,0,?
2018-07-08 16:19:30.929559,3363.97435710,2546.3939391393,2641.92307352,5991.727272128101,2051.15384150,3832.2121208289,377.30768411,5760.9393933633,7893.07693079,2760.6969694209,7630.51282767,6090.6363630273,1558.84614815,4293.7878783585,1361.92307081,3914.6363632449,1952.69230283,6304.9393933089,2576.28204774,6865.4242417377,5136.28205316,2843.1212118369,7335.38462192,4260.8181813921,4187.43589730,3354.1515148161,803.97435168,0,0,0,?
2018-07-08 16:19:30.929559,1394.74358370,2546.3939391393,180.38460677,5991.727272128101,6383.33333785,3832.2121208289,705.51281301,5760.9393933633,574.23076145,2760.6969694209,3987.56410201,6090.6363630273,2444.99999618,4293.7878783585,771.15383879,3914.6363632449,1394.74358370,6304.9393933089,6055.12820895,6865.4242417377,7006.92308276,2843.1212118369,5792.82051609,4260.8181813921,6780.12821048,3354.1515148161,935.25640324,0,0,0,?
2018-07-08 16:19:30.949504,2970.12820242,2546.3939391393,3462.43589577,5991.727272128101,3856.28205045,3832.2121208289,344.48717122,5760.9393933633,8024.35898235,2760.6969694209,5201.79487381,6090.6363630273,147.56409388,4293.7878783585,1132.17948058,3914.6363632449,2412.17948329,6304.9393933089,4315.76923091,6865.4242417377,6514.74359454,2843.1212118369,7466.66667348,4260.8181813921,4843.84615510,3354.1515148161,2182.43589306,0,0,0,?
